TXN_ID;fecha_pago;cliente_nombre;mascota_id;servicio_cat;descripcion_detallada;subtotal_neto;impuesto_aplicado;total_con_iva;metodo_abono;estado_sistema;old_sys_val_1;old_sys_val_2;old_sys_val_3;old_sys_val_4;old_sys_val_5;old_sys_val_6;old_sys_val_7;old_sys_val_8;old_sys_val_9;old_sys_val_10;old_sys_val_11;old_sys_val_12;old_sys_val_13;old_sys_val_14;old_sys_val_15;old_sys_val_16;old_sys_val_17;old_sys_val_18;old_sys_val_19;old_sys_val_20;old_sys_val_21;old_sys_val_22;old_sys_val_23;old_sys_val_24;old_sys_val_25;old_sys_val_26;old_sys_val_27;old_sys_val_28;old_sys_val_29;old_sys_val_30;old_sys_val_31;old_sys_val_32;old_sys_val_33;old_sys_val_34;old_sys_val_35;old_sys_val_36;old_sys_val_37;old_sys_val_38;old_sys_val_39;Unnamed: 40;Unnamed: 41;Unnamed: 42;Unnamed: 43;Unnamed: 44;Unnamed: 45;Unnamed: 46;Unnamed: 47;Unnamed: 48;Unnamed: 49;Unnamed: 50;Unnamed: 51;Unnamed: 52;Unnamed: 53;Unnamed: 54;Unnamed: 55;Unnamed: 56;Unnamed: 57;Unnamed: 58;Unnamed: 59;Unnamed: 60;Unnamed: 61;Unnamed: 62;Unnamed: 63;Unnamed: 64;Unnamed: 65;Unnamed: 66;Unnamed: 67;Unnamed: 68;Unnamed: 69;Unnamed: 70;Unnamed: 71;Unnamed: 72;Unnamed: 73;Unnamed: 74;Unnamed: 75;Unnamed: 76;Unnamed: 77;Unnamed: 78;Unnamed: 79;Unnamed: 80;Unnamed: 81;Unnamed: 82;Unnamed: 83;Unnamed: 84;Unnamed: 85;Unnamed: 86;Unnamed: 87;Unnamed: 88;Unnamed: 89
TXN-2025012;2025-08-04;PÃ©REZ;PET-649;Farmacia;Pienso Renal 2kg;66,85;14,04;80,89â‚¬;error_red;PENDING_SYNC;0;TRUE;0;migrated_2024;0;;;;;;;NULL;;;;;;;NULL;;;;;;;NULL;;NaN;;NaN;NaN;;;;NULL;;;NaN;;;NULL;;;NULL;;NULL;;;;;NaN;;;;;;NULL;;;NaN;;;NaN;;NULL;NaN;;;;NaN;;;NaN;;;;NaN;;;;NaN;NULL;;;;NaN;;;NaN
TXN-2025013;NULL;lã³pez;PET-108;VacunaciÃ³n;Leucemia felina;42,51;8,93; EUR 51,44;TARJETA;PENDING_SYNC;1;FALSE;FALSE;FALSE;0;;;;;NULL;;;;NULL;;;;;;;;;;NULL;NULL;NULL;NULL;NULL;;;NaN;;NaN;NULL;;NULL;NaN;;;NULL;;NULL;;NaN;NULL;NaN;;;NaN;NULL;NULL;;;;NULL;;;;;NaN;;;NULL;;;;;NaN;NULL;NaN;;;;;;;;NULL;;;NaN;;;NaN;;;;;NULL
TXN-2025014;2025/03/11 00:00:00;GÃ³mez;PET-503;Consulta;RevisiÃ³n urgencia;48,32;10,15;58,47â‚¬;Stripe;CLOSED;TRUE;FALSE;FALSE;TRUE;0;;NaN;;NaN;;;;;;;NULL;NaN;;;NaN;NULL;;;;;;;;;;NaN;NaN;;NULL;NULL;;NULL;;;NaN;;;;;NULL;NaN;;;NULL;;NaN;NULL;;NaN;;NaN;;NULL;NaN;;NULL;NaN;;;;;NaN;NaN;NaN;NaN;NULL;;;;;;NaN;NaN;;NaN;;;;NULL;;NaN;;;
TXN-2025015;15/09/2025;sã¡nchez;PET-580;CirugÃ­a;CirugÃ­a TPLO perro;332,91;69,91; EUR 402,82;EFECTIVO;CLOSED;FALSE;1;migrated_2024;0;FALSE;;NULL;;;;;NaN;;;;NaN;NULL;;;;NaN;NaN;NaN;NaN;NaN;;NaN;;NULL;;NaN;;NaN;NULL;;;NULL;NULL;;NULL;;;NaN;;NULL;;NULL;;;;;NaN;NaN;NULL;;;NaN;;NULL;;;;NaN;;;;;;;;NaN;;NULL;NaN;;;NULL;;NULL;NaN;;;NULL;NaN;;;;NaN;
TXN-2025016;2026-02-03;  PÃ©rez ;PET-416;CirugÃ­a;CirugÃ­a dental avanzada;876,76;184,12;1060,88;Efectivo;CLOSED;TRUE;FALSE;FALSE;migrated_2024;TRUE;;;;;;;;;;;NULL;;;;NULL;;NULL;;;NaN;;NaN;NaN;;NaN;;NaN;NaN;;NaN;;;;;;;;NULL;;NULL;;;;;;;;;;;;;;;NaN;;;;NULL;NaN;;;;NaN;;NaN;NULL;NULL;;;NULL;;;;;;;;;;;;;
TXN-2025017;feb. 09, 2025;martã­nez;PET-797;VacunaciÃ³n;Recordatorio anual;26,92;5,65; EUR 32,57;STRIPE_POS_1;CLOSED;migrated_2024;migrated_2024;FALSE;FALSE;1;NULL;;;NaN;;;NaN;;;;;;;NULL;;;;NULL;NaN;;;;;;NULL;NaN;NULL;;;;;;NULL;NaN;;NaN;;;NULL;;NULL;;;;;;;NaN;;;;NULL;;;;;NaN;NULL;NULL;;;;NULL;NULL;NULL;NULL;NaN;;;;NaN;;;;;NULL;;;;NULL;;;NaN;NULL
NaN;2025/11/11 00:00:00;garcã­a;PET-751;Consulta;Seguimiento post-operatorio;46,63;9,79;56,42â‚¬;Efectivo;PENDING_SYNC;1;0;FALSE;TRUE;FALSE;NULL;;;NULL;;NaN;;;;;NULL;;;;NULL;;;;NULL;NaN;;;;NaN;;;;;;NaN;NULL;;;NULL;NaN;;NaN;;NaN;;;;;;;;;NaN;NULL;NULL;NULL;;;;;;;;;NULL;NaN;NULL;;NaN;;;;;NaN;;;;;NaN;;;;;;;NaN;;;
TXN-2025019;2025-12-08;MARTÃ­NEZ;PET-652;Consulta;Seguimiento post-operatorio;;9,11;52,50;TARJETA;CLOSED;migrated_2024;FALSE;migrated_2024;migrated_2024;1;;;;NaN;NULL;;;;NULL;;;;;;NULL;;;;;;;;;;;NULL;;;;;NULL;NaN;;NULL;NULL;;NaN;;NULL;NaN;NULL;;;NULL;;;NaN;;;;;;;;;;;NULL;;NULL;;;;;;;;NaN;;NaN;;;;;;NULL;NaN;;;;;;NaN;
TXN-2025020;2025/12/04 00:00:00;GÃ³mez_antiguo;PET-756;CirugÃ­a;CirugÃ­a TPLO perro;1217,01;255,57; EUR 1472,58;STRIPE;CLOSED;0;migrated_2024;migrated_2024;TRUE;migrated_2024;NaN;;;NULL;NULL;NULL;;;;NaN;;NaN;NULL;;;;;;;;;;;;;NULL;NaN;;NaN;NaN;;;;;;NULL;;NULL;;NULL;;;;;NULL;;;;NaN;;;;;NULL;;NaN;;;NaN;NULL;;;NaN;;NaN;;;NaN;;;;;;;NaN;;;;;NULL;;;;
TXN-2025021;2025-04-06;gã³mez;PET-293;VacunaciÃ³n;Recordatorio anual;43,80;9,20;53,00;TARJETA;CLOSED;1;FALSE;0;migrated_2024;1;;;;;;;NaN;;;;NaN;;;;;NaN;;;;;NULL;;NaN;;;;;;;NULL;;;;;NULL;NULL;;;;;;;;;;;NaN;NaN;;;;NaN;;;;;;NULL;;NaN;;;;;NaN;;;;;;;NaN;NULL;;;NaN;;;;;NaN;NULL;NaN;
TXN-2025022;2025-01-27;SÃ¡nchez;PET-622;VacunaciÃ³n;Vacuna Rabia;41,68;8,75; EUR 50,43;TARJETA;CLOSED;0;FALSE;FALSE;TRUE;migrated_2024;NULL;;NaN;;NULL;NaN;;;NaN;NaN;;;NaN;;NULL;;;;;NULL;;;;;;NaN;NULL;;;;;;NULL;NaN;NaN;;NULL;;;;;;;;NaN;NULL;NULL;;;;;;NULL;;NULL;;;;;;NULL;;;;;NaN;NaN;;NaN;NULL;;;;;;;;;;NaN;NaN;;NULL;
TXN-2025023;NULL;RUIZ;PET-936;CirugÃ­a;ExtracciÃ³n tumoral;555,33;116,62;671,95;TRANSFERENCIA;PENDING_SYNC;TRUE;TRUE;TRUE;migrated_2024;0;NaN;;NULL;;NULL;NaN;;;;;NaN;;;;;;;;;;;NULL;;NaN;NULL;;;NaN;NULL;;;;;;;;;;;NULL;;NaN;NULL;;NULL;NaN;NULL;;;NaN;NaN;NaN;;;;NULL;;;;;;;;NULL;;;;;;;;;NaN;;;NaN;NULL;;NaN;;;;;
TXN-2025024;05/06/2025;Ruiz;PET-480;Farmacia;Meloxicam gotas;58,11;12,20;70,31;TARJETA;PENDING_SYNC;TRUE;0;1;0;TRUE;;NaN;NaN;NULL;;;;NULL;;;NaN;NaN;NULL;;;;;NULL;NULL;NULL;;;NULL;NULL;NaN;NaN;;;NULL;NULL;;NULL;NULL;;;;;;;;NaN;;NULL;NaN;;;;NaN;;;;NULL;;NULL;;NaN;NaN;NULL;;;NaN;;NULL;;;NULL;NULL;;;NULL;;;NaN;;;NaN;;;;;;;;
TXN-2025025;ene. 16, 2026;  PÃ©rez ;PET-835;Farmacia;Meloxicam gotas;27,38;5,75;33,13;TARJETA;CLOSED;1;1;migrated_2024;1;FALSE;;;;NULL;NaN;;;;;NULL;;;;;;;;NULL;NULL;;;;NULL;NULL;NULL;NaN;;NaN;NULL;NaN;NULL;;;NaN;;;;;;;;;;;NaN;;;;;;;;;;;NULL;;;NULL;NULL;;;;NaN;;;;;;;;NULL;NaN;NULL;NULL;;;NaN;;;;;;NaN
NaN;2025/08/29 00:00:00;  GÃ³mez ;PET-593;VacunaciÃ³n;Polivalente;31,67;6,65;â‚¬38,32;Transferencia;CLOSED;TRUE;TRUE;1;0;migrated_2024;NaN;NULL;;NULL;;;NULL;NaN;;;;;NaN;NULL;NaN;NULL;NULL;;;NULL;;;;;;NaN;;;;;NULL;;NULL;;NaN;NULL;;;;;;NaN;;;;NULL;;;NaN;;;NULL;;NaN;;;;NaN;;;;;;;;;;;;NULL;;;;;;NaN;;NULL;;;;;NaN;
TXN-2025027;NULL;  LÃ³pez ;PET-177;Farmacia;Bravecto 3 meses;21,97;4,61;â‚¬26,58;STRIPE;CLOSED;migrated_2024;0;0;FALSE;migrated_2024;;NaN;NaN;;;;;;NaN;;NaN;;;NULL;NaN;;;;;NaN;;NaN;NaN;;;NULL;;;NaN;;NaN;NULL;;NULL;NULL;;;;;;NULL;NaN;NULL;NaN;;;NaN;NaN;;;;;;NaN;;;NULL;;;NaN;;;NULL;;;NaN;;NaN;NULL;;NaN;NULL;;;NaN;NaN;NaN;NULL;;;;;;
TXN-2025028;ago. 14, 2025;PÃ©rez_antiguo;PET-430;VacunaciÃ³n;Recordatorio anual;30,05;6,31;â‚¬36,36;EFECTIVO;CLOSED;FALSE;migrated_2024;migrated_2024;0;TRUE;;;NULL;NaN;NULL;;;;;NaN;;;;;NULL;;NULL;NaN;;;;NULL;;NULL;;NULL;NaN;;;NULL;;;;NULL;;NULL;;;;NULL;NULL;;;;;;NaN;NaN;;;;;NULL;;;;;;;;NaN;;;;;;NaN;;NULL;;NULL;NULL;;;;NULL;;;;;;;;
TXN-2025029;07/02/2025;Ruiz;PET-199;VacunaciÃ³n;Polivalente;35,74;7,51;43,25â‚¬;STRIPE_POS_1;CLOSED;FALSE;TRUE;0;0;0;;;;NULL;NaN;NULL;NaN;NaN;NULL;;;NULL;;;;NULL;NULL;NULL;NaN;NULL;NULL;;NaN;NULL;;NULL;NULL;NaN;;NaN;;;;;;NaN;;;;;;;NULL;;NaN;;;;NaN;NULL;;;NULL;NaN;NaN;;;;;NULL;NULL;NULL;;;NULL;NaN;;;;;NULL;;;;;NaN;;;;;;;;NaN
TXN-2025030;2025/10/05 00:00:00;garcã­a;PET-732;Farmacia;Meloxicam gotas;60,39;12,68;73,07;TARJETA;CLOSED;migrated_2024;TRUE;FALSE;0;FALSE;;NULL;NULL;;;NULL;;;;;;;NaN;;NULL;;;NaN;;;;;;;;;NaN;;;;NULL;NULL;NULL;NaN;NaN;;;;;;;;;;;NULL;NULL;;NULL;;;;NaN;;NaN;;;;;;;NaN;;NULL;;;;;NaN;;NULL;;;NULL;;NULL;;;;;;;;NULL
TXN-2025031;2025-06-17;Ruiz;PET-371;Consulta;RevisiÃ³n urgencia;62,61;13,15;75,76;TRANSFERENCIA;CLOSED;migrated_2024;0;FALSE;migrated_2024;0;;;;NaN;NaN;;NULL;;;;NULL;;NULL;;;;;;;NULL;NaN;;NULL;;;;NaN;;;;;NULL;NaN;;;;;NULL;;;;;;;NaN;NaN;;;;;;;;NULL;NULL;;;;;;;;;;;;NaN;;;NaN;;NaN;NaN;;NaN;;NULL;;NaN;NaN;NaN;;;
TXN-2025032;2025/11/12 00:00:00;Ruiz;PET-388;CirugÃ­a;CastraciÃ³n gato;1335,62;280,48;1616,10â‚¬;Transferencia;CLOSED;1;0;TRUE;FALSE;TRUE;;;;NaN;;;;;;NaN;;;;;;;;;NULL;;;NULL;;;;;NULL;;;NaN;;NaN;;;;NULL;;;;NaN;;NaN;;;;NULL;;;;;;;;NaN;NaN;;NULL;;;;;;NaN;;NaN;NaN;NULL;NaN;;;;;NULL;;;;;;NULL;;;;NaN;
TXN-2025033;2025/09/03 00:00:00;GarcÃ­a_antiguo;PET-969;Farmacia;Pienso Renal 2kg;83,46;17,53;100,99â‚¬;TRANSFERENCIA;CLOSED;FALSE;migrated_2024;1;migrated_2024;TRUE;NaN;;;NULL;;;;NULL;;NULL;;;NaN;;;;;;NULL;;;NaN;;NULL;NaN;NULL;NaN;;;NaN;;NaN;NaN;;;;;NaN;;;NULL;;;;;NULL;NaN;;NaN;;;;;;;;NaN;;;;;NaN;;NULL;;;NULL;;;;NULL;;;;;NaN;;NULL;;NULL;;;;NULL
TXN-2025034;feb. 11, 2025;lã³pez;PET-824;VacunaciÃ³n;Vacuna Rabia;;11,43;65,84;TRANSFERENCIA_POS_1;CLOSED;FALSE;TRUE;migrated_2024;0;migrated_2024;;NaN;;;;;;;NULL;;;;;;;;;;NaN;NaN;NULL;NaN;;NULL;;;;NULL;NULL;;;NULL;;;;;;;NULL;;;NaN;;;;;;NULL;;;NaN;NaN;;NULL;;NaN;;;NULL;NULL;;;NaN;;NULL;;;;;;;NULL;;NaN;NaN;;;NULL;;;;;NaN;
TXN-2025035;jul. 11, 2025;  GÃ³mez ;PET-385;Consulta;Seguimiento post-operatorio;59,23;12,44;71,67;TRANSFERENCIA;CLOSED;TRUE;TRUE;1;migrated_2024;0;;NULL;;;;NULL;;;NULL;NaN;NaN;;;;;;;NaN;;NaN;;;;NaN;;NULL;;NULL;;;;NaN;NaN;NULL;;NULL;;;;;NaN;;NaN;NULL;;;;NaN;NULL;;;;;;;;;;;;;;NULL;;;;;;;;;;;;;;NaN;;;;NULL;;NULL;
TXN-2025036;NULL;LÃ³pez;PET-322;Consulta;Consulta general;75,97;15,95;91,92â‚¬;EFECTIVO;CLOSED;TRUE;migrated_2024;1;TRUE;1;;;NULL;NULL;NULL;NULL;NaN;;NULL;NULL;;;NaN;;;;NaN;;NaN;;;NULL;NaN;;;NULL;NaN;;;;;;;;;;NULL;;NaN;NULL;;;;;;NaN;;;NaN;NULL;;;NaN;;;;NaN;;;;;;;;NULL;;NULL;;NULL;;;;NULL;NULL;;NaN;NaN;;NULL;NULL;;;NULL;
TXN-2025037;NULL;gã³mez;PET-279;Farmacia;Pienso Renal 2kg;;21,26;â‚¬122,52;TARJETA_POS_1;CLOSED;1;1;migrated_2024;TRUE;TRUE;;;NaN;;NaN;;NaN;;;;;;;;NULL;;;;;;;;;;;;;;NULL;NULL;;;;;;NULL;;;NaN;NaN;;;;NULL;NULL;;NULL;NaN;;NaN;;;NaN;NaN;NaN;;;;;;;;;;;;NULL;;NULL;;;;;;;;NULL;;;NULL;;NaN;;
TXN-2025038;2025/09/22 00:00:00;PÃ©rez_antiguo;PET-219;Farmacia;Meloxicam gotas;51,99;10,92;62,91;Efectivo;CLOSED;0;0;FALSE;0;0;;;NULL;;;NaN;NaN;;;;;;NULL;NULL;NULL;NULL;NULL;NaN;;;NaN;;NaN;;;;NULL;NULL;NaN;;;NaN;NaN;NULL;NULL;;;;;NULL;NULL;NULL;;NaN;;;;;;;NaN;NULL;;;;NULL;;NaN;;NaN;NULL;NaN;;;;;;NULL;NULL;NULL;;NaN;;;NaN;NaN;NULL;NULL;NULL;NULL;;;NaN;
NaN;NULL;sã¡nchez;PET-575;VacunaciÃ³n;Leucemia felina;;9,58;55,22;Stripe;CLOSED;TRUE;migrated_2024;TRUE;FALSE;FALSE;;;NULL;;;;;;;NULL;;;;NULL;NaN;NULL;NULL;NaN;NaN;NULL;NULL;;NULL;NULL;;;;;NULL;NaN;;NaN;NaN;;;;NaN;;;;NaN;NULL;NULL;;;NaN;NaN;;NaN;NULL;;;;;;NaN;;;;;NaN;NULL;;NaN;NULL;;NaN;NULL;;NaN;;;NaN;;;NULL;;;;;;;;NULL
TXN-2025040;NULL;  SÃ¡nchez ;PET-207;Farmacia;Pienso Renal 2kg;13,85;2,91;16,76â‚¬;TARJETA;CLOSED;TRUE;migrated_2024;migrated_2024;0;migrated_2024;NaN;NaN;;NaN;;;;;NaN;NaN;;;;;;NaN;NULL;;;;;;;NaN;;;;;;;;NaN;NaN;;;;NaN;NaN;;;NaN;;NULL;;;;;;NaN;NULL;;;NULL;;NaN;;;;NaN;;;NaN;NaN;;;NaN;;NaN;NULL;NaN;;;;;NaN;;NaN;;;NaN;NaN;;NaN;
TXN-2025041;NULL;LÃ³pez;PET-529;Consulta;Seguimiento post-operatorio;35,91;7,54;43,45;error_red;PENDING_SYNC;1;migrated_2024;0;0;migrated_2024;NULL;;NULL;;;NaN;;;NULL;NULL;;NULL;;;;;NULL;NULL;NULL;NULL;;NULL;NULL;;;NaN;;;;;NULL;;NaN;NaN;NaN;NaN;;;NULL;;;;;;;;NaN;;NULL;NaN;;;NaN;NaN;;NULL;;;;NaN;;;;NULL;;;;;;NaN;;;NULL;NULL;;;NaN;NaN;NULL;;NULL;;;
TXN-2025042;2026-01-18;sã¡nchez;PET-951;Farmacia;Meloxicam gotas;102,91;21,61; EUR 124,52;STRIPE;CLOSED;TRUE;FALSE;0;1;migrated_2024;;;;;NaN;;;;;;;NaN;;NULL;NaN;;;NULL;;;NaN;;NaN;;NaN;NULL;NULL;;;;;NaN;;;;NULL;;NaN;;;NULL;;NULL;NULL;NULL;;NaN;;;NaN;NULL;;;;;NaN;NaN;NULL;;NULL;;NaN;NaN;;NULL;;;;NaN;NaN;;;;NULL;;;;NaN;;;;;;NaN
TXN-2025043;NULL;MARTÃ­NEZ;PET-761;VacunaciÃ³n;Polivalente;;5,97;â‚¬34,40;EFECTIVO_POS_1;CLOSED;migrated_2024;0;FALSE;0;1;;;;;;NaN;;;NULL;;;;;;;;NULL;NULL;NaN;;;;;;;;;;NaN;NaN;;;;NULL;NaN;;;NULL;NaN;NaN;NaN;;;NaN;;;;;NaN;;;NULL;;;;NULL;;;;;;;;;NULL;;;;NaN;NaN;;NULL;;NULL;;;;;;;;NULL;NaN;
TXN-2025044;2025/02/22 00:00:00;Ruiz_antiguo;PET-830;VacunaciÃ³n;Leucemia felina;48,66;10,22;58,88â‚¬;EFECTIVO;PENDING_SYNC;migrated_2024;migrated_2024;migrated_2024;FALSE;0;;;;NaN;;NULL;;;;;NULL;;;NaN;;;;;;;NULL;NaN;;;NULL;;;;;;;NaN;;;NaN;;;;;;;;NaN;NaN;;;NULL;;;;NaN;;NULL;NULL;NaN;;NULL;NaN;NaN;NULL;;NULL;;NaN;NaN;;;;;;;;;NaN;NULL;;;;NULL;NULL;;NULL;NaN;NaN
